日期,存入,取出,当前日期11.16,,,,
7.31,11010,0,总存入 ,总取出,净存入,当前市值,盈亏
,8,0,51298.08,29953.41,21344.67,12226,-9118.67
8.3,0,200,,,,,
8.12,0,340,,,,,
9.3,0,100,,,,,
9.7,12100.08,0,,,,,
9.29,0,5683.29,,,,,
9.3,0,5058.51,,,,,
10.16,20000,0,,,,,
10.2,0,1316.29,,,,,
10.21,0,2885.71,,,,,
10.29,0,6891.9,,,,,
20.3,,5819.05,,,,,
11.03,0,1658.66,,,,,
11.05,4300,0,,,,,
11.06,380,0,,,,,
11.11,3500,0,,,,,
